Kassenbericht;06.06.2026
Status;abgeschlossen

Belege;Verkäufe;3
Belege;Ankäufe;1
Belege;Stornos;0

Umsatz;Verkauf brutto;4240,00 EUR
Umsatz;Verkauf netto;4240,00 EUR
Umsatz;Ankauf brutto;600,00 EUR
Umsatz;Ankauf netto;600,00 EUR

Umsatzsteuer;Regelsteuersatz 19 %;190,00 EUR
Umsatzsteuer;Differenzbesteuerung § 25a UStG;127,73 EUR
Umsatzsteuer;Anlagegold, steuerfrei § 25c UStG;0,00 EUR
Umsatzsteuer;Summe;317,73 EUR

Zahlungsart;Bar;3640,00 EUR
Zahlungsart;Kartenzahlung Terminal;600,00 EUR
Zahlungsart;Summe;4240,00 EUR

Kasse;Erwartet bar;3840,00 EUR
Kasse;Gezählt bar;3838,00 EUR
Kasse;Differenz;-2,00 EUR

TSE;Signiert;4
TSE;Ausstehend;0
TSE;Fehlgeschlagen;0

Abschluss;Finalisiert am;06.06.2026, 22:05 Uhr (Ortszeit Berlin)
